"search-number","evaluation","memory*","nchpercent*","trustindexmean*","initialexperience*","carepatchmean*","carefarmermean*","careothersmean*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","1370","22","0.4","0.52","7.6","0.47000000000000003","0.9","0.51","10","0.36096086027086216","10","0.3494109694863946"
"2","1460","22","0.58","0.54","6.4","0.96","0.52","0.59","10","0.40391775404197255","10","0.39268220417307476"
"3","1410","21","0.41000000000000003","0.56","7.800000000000001","0.33","0.3","0.28","10","0.3897635631405786","10","0.3926540674283947"
"4","1370","5","0.81","0.6","8.9","0.47000000000000003","0.86","0.85","10","0.3928704550824664","10","0.3687011508457119"
"5","1410","9","0.81","0.63","8.4","0.31","0.07","0.96","10","0.3979186490508287","10","0.3605394916976927"
"6","1440","23","0.67","0.61","6","0.23","0.86","0.5","10","0.40561022328714424","10","0.3962231303590774"
"7","1460","14","0.55","0.67","7.4","0.87","0.71","0.03","10","0.3579034873958953","10","0.3779292087365187"
"8","1420","18","0.3","0.64","9.7","0.06","0.5700000000000001","0.9","10","0.39173180941396873","10","0.3778375405791252"
"9","1390","22","0.53","0.5700000000000001","5.5","0.79","0.99","0.08","10","0.3761877729415803","10","0.354184782522138"
"10","1350","27","0.55","0.58","7.1","0.02","0.02","0.27","10","0.39578927628534877","10","0.3601939100570569"
